ID,Question,Option1,Option2,Option3,Option4,Answer
1,Com pot afectar la pornografia a l'autoestima en comparar-se amb actors i actrius de la indústria?😳🔍,Augmenta l'autoestima,No té impacte,Pot generar inseguretat,Millora la confiança en un mateix,Pot generar inseguretat
2,Quina de les següents dificultats pot sorgir en vincular-se sexual i afectivament amb altres persones després de consumir pornografia de manera constant?🤔❤️,Major facilitat en les relacions,Dificultat per establir vincles emocionals,Millora en la comunicació,Augment de l'empatia,Dificultat per establir vincles emocionals
3,Quin és un possible problema relacionat amb la pornografia en termes de disfunció erèctil o dificultats d'orgasme?⚠️🍆,Millora la funció erèctil,No té impacte a l'orgasme,Pot contribuir a disfuncions sexuals,Facilita l'orgasme,Pot contribuir a disfuncions sexuals
4,"En la pornografia, com es reforcen els estereotips de gènere?👫🔄",Trencant amb els estereotips,Presentant diversitat de rols de gènere,Degrada la dona i la considera un objecte sexual,Promocionant la igualtat de gènere,Degrada la dona i la considera un objecte sexual
5,Per què la pornografia dura amb violència pot ser problemàtica?😟👊,No té impacte en la percepció de la violència,Erotitza i normalitza comportaments violents,Ajuda a entendre la violència a la societat,Redueix la freqüència de comportaments violents,Erotitza i normalitza comportaments violents
6,Quin podria ser un problema derivat de l'erotització de situacions violentes a la pornografia?⚠️🔞,Reducció de la violència a la societat,Major consciència sobre la violència,Desensibilització davant de la violència,Augment de l'empatia,Desensibilització davant de la violència
7,Com pot ser considerada la pornografia com una via de coneixement personal?🤯💡,No contribueix a l'autconeixement,Facilita l'exploració de coneixements sexuals,Limita la comprensió de la sexualitat,No té relació amb l'autconeixement,Facilita l'exploració de coneixements sexuals
8,Quin és un efecte negatiu de la pornografia en la percepció del cos i l'aparença física?😣👙,Millora la autoimatge,Contribueix a l'acceptació del cos,Pot generar insatisfacció corporal,Promou la diversitat de cossos,Pot generar insatisfacció corporal
9,Com afecta la pornografia a la comunicació sexual a les parelles?🗣️🛌,Facilita la comunicació oberta,Dificulta l'expressió de desitjos i necessitats,No té impacte en la comunicació,Promou l'empatia,Dificulta l'expressió de desitjos i necessitats
10,Per què la pornografia pot distorsionar les expectatives sobre el sexe real?🤷‍♂️💭,Representa fidelment les relacions,Proporciona una visió realista,Pot crear expectatives poc realistes,Contribueix a una comprensió saludable,Pot crear expectatives poc realistes
11,Quin és un risc potencial del consum excessiu de pornografia a l'adolescència?⚠️👦👧,Major autocontrol emocional,Desenvolupament saludable de la sexualitat,Distorsió de la percepció sobre el sexe,Fortaleixament de l'autoestima,Distorsió de la percepció sobre el sexe
12,Com pot influir la pornografia en la percepció dels rols de gènere a les relacions?👨‍❤️‍👨🔄,Promouent relacions igualitàries,Reforçant rols tradicionals de gènere,Contribuint a la diversitat de rols,No afecta la percepció dels rols de gènere,Reforçant rols tradicionals de gènere
13,Quin és un possible efecte del consum freqüent de pornografia en la satisfacció sexual?😕🛌,Augment de la satisfacció,No té impacte en la satisfacció sexual,Pot conduir a la insatisfacció,Millora la intimitat emocional,Pot conduir a la insatisfacció
14,"Què pot contribuir al desenvolupament d'una imatge corporal positiva, contrarestant els efectes negatius de la pornografia?🤸‍♀️🤲",Comparar-se constantment amb models a la pornografia,Fomentar l'acceptació i apreci per la diversitat de cossos,Ignorar la influència de la pornografia,Limitar la comunicació sobre la imatge corporal,Fomentar l'acceptació i apreci per la diversitat de cossos
15,Com pot la pornografia influir en la percepció de la intimitat emocional en una relació?😢💖,Reforçant la connexió emocional,Dificultant l'obertura emocional,No influeix en la intimitat emocional,Promocionant la comunicació afectiva,Dificultant l'obertura emocional
16,Quin és un possible efecte de la pornografia en la percepció de la diversitat sexual?🏳️‍🌈💭,Contribuir a una visió àmplia i respectuosa,Limitar la comprensió de la diversitat sexual,Promoure la tolerància,No tenir impacte en la percepció,Limitar la comprensió de la diversitat sexual
17,Per què pot ser important educar sobre els riscos de la pornografia des d'una edat primerenca?📚🚸,Per promoure la censura,Per fomentar la curiositat sense restriccions,Per desenvolupar una comprensió crítica,No és rellevant per a l'educació,Per desenvolupar una comprensió crítica
18,Quin és un aspecte positiu de l'abordatge educatiu sobre la pornografia a les escoles?👥🎓,Fomenta el consum sense restriccions,Contribueix a la manca d'informació,Desenvolupa habilitats crítiques i consciència,No té impacte en l'educació,Desenvolupa habilitats crítiques i consciència
19,Per què la conversa oberta sobre la pornografia a les relacions pot ser beneficiosa?🗨️💑,Fomenta la falta de comunicació,Genera inseguretat a la parella,Promou la comprensió mútua i la presa de decisions informades,No afecta la qualitat de la relació,Promou la comprensió mútua i la presa de decisions informades
20,Com pot la pornografia influir en la percepció del consentiment en les relacions sexuals?⚠️🤝,Promoguent una comprensió saludable,No afectant la percepció del consentiment,Contribuint a malentesos sobre el consentiment,Reforçant la importància del respecte i la comunicació,Contribuint a malentesos sobre el consentiment
